X,elements,lru,lru_2,lfu5,lfu10,lfu20,zipf_best_read,zipf_best_read_history,staticOpt,rand,opt,cf_lru,lru_wsr,lfu10_history3_-5,lfu10_history10_-5,lfu10_history10_-3,lfu10_history10_1,lfu10_history10_3,lfu10_history10_5,lfu10_history10_inf,lfu5_w1,lfu5_w2,lfu5_w3,lfu5_w4,lfu5_w5,lfu5_w6,lfu5_w7,lfu5_w8,lfu5_w9,lfu5_w10,lfu5_w11,lfu5_w12,lfu5_w13,lfu5_w14
3,1000000,961917,891124,888910,887872,887462,887872,887872,869888,963461,839334,961917,967993,887872,887872,887872,891412,894434,893493,891146,897473,892753,891199,890382,889983,889466,889162,889059,888928,888910,888820,888808,888752,888644
4,1000000,950530,861094,858411,857110,856685,857110,857110,841090,953078,803550,959554,958966,857110,857110,857110,862617,865935,865393,863562,874084,865230,862442,861050,859955,859406,859095,858812,858474,858411,858199,858178,858090,857975
5,1000000,939434,838727,835819,834236,833401,834236,834236,819307,943529,775733,948204,950412,834236,834236,834236,840803,845048,844806,843306,856350,845699,841271,839301,838111,837220,836612,836230,836027,835819,835533,835334,835230,835121
6,1000000,928852,820518,817220,815647,814626,815647,815647,809093,934570,752883,945919,941820,815647,815647,818203,823461,828311,828080,826842,841272,830133,824702,821918,820280,819108,818390,817834,817318,817220,816616,816492,816316,816165
7,1000000,918835,804848,801797,799780,798529,799780,799780,797661,925793,733414,934781,933502,799780,799780,802396,808875,814403,814091,813016,828333,815533,810517,807626,805849,804164,803213,802531,802134,801797,801193,800775,800567,800479
8,1000000,909275,790661,788318,786353,785302,786353,786353,780324,918047,716331,932532,925728,786353,786353,788620,796328,802014,801630,800784,817065,802935,797530,794636,792625,790788,789982,788943,788604,788318,787946,787650,787401,787458
9,1000000,900259,778932,776253,774509,773134,774509,774509,765161,910378,701079,922017,918365,774509,774509,778855,785027,790825,790565,789878,806161,791670,786447,782556,780636,779064,778075,777282,776770,776253,776029,775999,775860,775854
10,1000000,891583,768208,765367,763159,762121,763159,765962,758679,903325,687273,919728,910732,765962,765940,768006,774962,780766,780531,779956,797586,781802,775749,771658,769325,767956,767270,766574,765783,765367,765134,764934,764666,764724
11,1000000,883329,758494,755418,753221,752173,753221,755773,746361,897005,674642,909868,903541,755773,755771,757580,765862,771701,771523,770987,789550,772551,765897,761669,759270,757625,757002,756532,755732,755418,755225,755072,754858,754802
12,1000000,875261,749010,746109,744074,742633,744074,746502,735617,889951,662996,907546,896643,746502,746561,749945,757132,763288,762862,762452,782098,764324,756862,752536,749642,747878,747495,746903,746545,746109,745818,745598,745246,745344
13,1000000,867611,740395,737223,735305,733918,735305,737712,730220,883518,652145,897967,889656,737712,737664,741018,749151,755309,754998,754610,775197,756414,747844,743747,741570,739324,738881,737822,737405,737223,737052,737048,736922,736840
14,1000000,860169,732150,728708,726898,725875,726898,729303,720971,877709,642001,895594,883060,729303,729305,732492,741648,747961,747541,747271,767672,749105,740058,736056,733957,731609,730907,729433,728914,728708,728762,728794,728711,728648
15,1000000,853138,724632,720973,719268,717500,719268,723635,715939,872074,632443,886521,876626,723635,723643,726247,734673,741008,740567,740323,761240,742125,733280,728764,725995,723939,723033,721836,721062,720973,721053,720992,721260,721313
16,1000000,846473,717708,714072,711603,710178,711603,716159,706464,866065,623429,884079,870253,716159,716165,718936,727815,734189,733954,733728,755447,735641,726557,722260,719515,716877,715833,714724,714165,714072,713950,713779,713948,714074
17,1000000,839984,710556,707321,704905,703159,704905,709097,702207,860868,614933,875447,864090,709097,709070,711871,721490,727882,727424,727262,749432,729256,720177,715632,712931,710223,709354,708461,707740,707321,706971,706935,707037,707213
18,1000000,833693,703965,700790,698704,697059,698704,702689,697707,855355,606826,873042,857917,702689,702663,706647,715300,721813,721387,721245,744135,723729,714597,709968,706267,703840,703015,702112,701179,700790,700791,700604,700414,700311
19,1000000,827520,698064,694696,692236,691016,692236,696454,689958,850597,599094,864690,852025,696454,696431,700198,709338,715889,715504,715409,738434,718522,709061,704025,700501,697939,697102,695945,695300,694696,694270,694126,694317,694358
20,1000000,821560,692124,688824,686314,684932,686314,691915,683400,845686,591702,862323,846310,691915,691944,694033,703572,710148,709723,709649,734483,713223,703653,698727,694712,692388,691241,690012,689563,688824,688319,688301,687952,687848
30,1000000,771261,643274,640270,637916,636110,637916,644921,636507,801420,531021,813813,795604,644921,644920,648487,657790,663256,663016,663009,691025,667495,656634,650653,646912,644354,642530,641224,640318,640270,639643,639836,639458,639360
40,1000000,732020,605314,601942,600098,597691,600098,608514,600730,766309,485413,771454,753639,608514,608520,612231,622102,626944,626872,626870,657666,632801,620866,612203,608277,605784,603804,603710,602422,601942,602084,601160,601598,601549
50,1000000,699189,572659,570315,567901,565593,567901,577885,567364,735322,448574,734116,718445,577885,577901,581930,592275,596165,596149,596148,629471,603350,589062,580749,577219,574241,572437,571210,571413,570315,570268,570029,570087,570182
60,1000000,670264,545458,542524,540492,538564,540492,551134,537188,707091,417521,702423,687338,551134,551072,555428,566267,569582,569572,569572,605637,576135,562573,554938,550684,546572,544392,543710,543194,542524,542408,542530,542503,543038
70,1000000,644023,521539,517703,515937,514479,515937,527435,513103,682535,390546,674361,659738,527435,527452,531966,542639,545221,545220,545220,584103,554535,539470,530824,526376,522916,520973,519232,518230,517703,517849,518103,518682,517884
80,1000000,619703,499914,496195,493978,491720,493978,506059,492379,659487,366677,648856,634539,506059,505999,510246,520942,523055,523054,523054,563681,534333,517947,509354,504045,501084,499186,497006,496487,496195,495376,495700,495813,496022
90,1000000,597385,479494,475628,473543,471818,473543,486339,471417,637795,345309,625141,611151,486339,486137,490813,501044,502613,502613,502613,544123,514126,498674,488778,482955,480498,478454,476828,476566,475628,475473,475871,475920,476551
100,1000000,576618,460397,457348,455047,453353,455047,468331,453731,616900,326005,602404,589005,468331,468255,472476,482744,483793,483793,483793,526237,495982,479584,470146,464755,461126,459492,458652,458230,457348,457487,457946,457682,457411
200,1000000,411695,318928,316160,314720,312653,314720,329406,312948,455001,195233,421411,413069,329406,329344,333239,338236,338235,338235,338235,383833,350694,336447,328436,324078,320047,318173,318027,316669,316160,316476,317086,317298,317288
300,1000000,290471,217415,215817,214336,213720,214336,226948,212171,335034,119946,285743,283270,226948,226922,230455,231868,231868,231868,231868,270771,245066,231123,223624,221102,219468,217592,216216,215736,215817,215783,216587,216575,216550
400,1000000,193242,136037,134783,133355,132968,133355,144878,135182,236442,70768,177944,181713,144878,144708,146430,146420,146420,146420,146420,156443,150772,144312,139935,137746,135682,135468,134956,134930,134783,135124,135725,135856,137082
500,1000000,115183,73126,72031,71377,70812,71377,79437,66220,154162,37840,93127,101492,79437,79268,79294,79294,79294,79294,79294,70101,70401,70433,70500,70668,71151,71214,71517,71841,72031,72654,73148,73662,74590
600,1000000,54510,33598,33230,33093,32909,33093,35908,30857,85575,16556,43532,45719,35908,35900,35900,35900,35900,35900,35900,33412,33344,33371,33353,33408,33330,33421,33478,33449,33230,33478,33347,33424,33663
700,1000000,14322,11204,10859,10913,10966,10913,11533,9987,29429,4333,13524,13543,11533,11525,11525,11525,11525,11525,11525,10858,10858,10858,10858,10858,10858,10858,10858,10858,10859,10859,10859,10859,10862
800,1000000,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759,759
